127.0.0.1 - - [09/Apr/2016:21:29:26 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:29:28 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:29:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:29:38 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:32:58 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:28 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:29 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:29 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:29 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:29 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:30 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:30 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:49 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:53 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:35:54 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:36:10 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:36:51 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:36:52 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:37:32 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:38:07 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:38:44 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:38:45 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/Apr/2016:21:38:45 +0800] "GET /Test/NewFile.jsp HTTP/1.1" 200 285
