127.0.0.1 - - [03/Aug/2017:00:14:18 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:53 +0800] "GET /group3/queryInfo/ticketQuery HTTP/1.1" 200 24726
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/jquery-2.2.3.min.js HTTP/1.1" 200 112543
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/sand.js HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/bootstrap-select.css HTTP/1.1" 200 6997
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/bootstrap-select.js HTTP/1.1" 200 63853
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/faqstyle.css HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/style_ticketQuery.css HTTP/1.1" 200 15102
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/medile.css HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/jquery.slidey.min.css HTTP/1.1" 200 7632
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/popuo-box.css HTTP/1.1" 200 6944
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/cityPicker.css HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/css/font-awesome.min.css HTTP/1.1" 200 34089
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/easyResponsiveTabs.js HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/responsiveslides.min.js HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/LogReg-validation.js HTTP/1.1" 200 4683
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/custom.js HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/jquery.flexslider-min.js HTTP/1.1" 200 28427
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/china.js HTTP/1.1" 200 60565
0:0:0:0:0:0:0:1 - - [03/Aug/2017:00:15:54 +0800] "GET /group3/queryInfo/js/ticketQueryRelated.js HTTP/1.1" 200 7318
