127.0.0.1 - - [13/Oct/2017:23:48:02 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:50:34 +0800] "GET /group3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:50:35 +0800] "GET /group3/ HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:50:35 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:51:44 +0800] "GET /group3/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:51:46 +0800] "GET /group3/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:52:43 +0800] "GET /group3/user HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/NotIndex HTTP/1.1" 200 28507
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/bootstrap-select.css HTTP/1.1" 200 6997
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/faqstyle.css HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/medile.css HTTP/1.1" 200 9465
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/style.css HTTP/1.1" 200 32727
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/jquery.slidey.min.css HTTP/1.1" 200 7632
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/cityPicker.css HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:10 +0800] "GET /group3/main/css/popuo-box.css HTTP/1.1" 200 6944
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:11 +0800] "GET /group3/main/css/font-awesome.min.css HTTP/1.1" 200 34089
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:11 +0800] "GET /group3/main/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:11 +0800] "GET /group3/main/js/easyResponsiveTabs.js HTTP/1.1" 200 11733
